DB Index,Country Code,Country Name
8,ARG,Argentina
32,BOL,Bolivia (Plurinational State of)
33,BRA,Brazil
41,CHL,Chile
50,COL,Colombia
67,ECU,Ecuador
76,FLK,Falkland Islands (Malvinas)
95,GUY,Guyana
177,PER,Peru
186,PRY,Paraguay
212,SUR,Suriname
237,URY,Uruguay
243,VEN,Venezuela (Bolivarian Republic of)
